City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,general roca,-39.0333,-67.5833,281.8,54,100,1.34,AR,1655101989
84,san juan,-31.5375,-68.5364,282.37,46,1,0.82,AR,1655102086
85,trebinje,42.7119,18.3442,298.57,41,0,7.2,BA,1655102087
86,freeport,40.6576,-73.5832,294.36,83,100,4.63,US,1655101924
87,high level,58.5169,-117.136,284.12,49,63,1.09,CA,1655102090
88,san cristobal,7.7669,-72.225,290.44,98,83,1.38,VE,1655102093
89,port elizabeth,-33.918,25.5701,290.55,69,0,2.06,ZA,1655102094
90,matelica,43.2541,13.0106,297.7,46,0,1.52,IT,1655102095
91,atuona,-9.8,-139.0333,298.64,66,92,8.79,PF,1655102096
92,grand gaube,-20.0064,57.6608,297.37,73,61,3.58,MU,1655102097
93,ulaanbaatar,47.9077,106.8832,297.22,20,0,6.0,MN,1655102099
94,lesnoy,57.6198,63.0784,284.9,91,100,3.49,RU,1655102100
95,lompoc,34.6391,-120.4579,291.36,87,100,7.15,US,1655102101
96,asau,46.4333,26.4,293.66,60,0,2.25,RO,1655102102
97,fuyang,32.9,115.8167,308.73,20,0,2.25,CN,1655102104
98,srednekolymsk,67.45,153.6833,295.52,25,8,7.03,RU,1655102105
99,kirando,-7.4167,30.6,297.19,58,12,5.64,TZ,1655102106
100,jamestown,42.097,-79.2353,288.92,67,38,0.89,US,1655102107
101,hualmay,-11.0964,-77.6139,289.42,85,51,4.45,PE,1655102108
102,lensk,60.7253,114.9278,294.39,31,100,3.5,RU,1655102110
103,maiquetia,10.5962,-66.9548,299.51,88,75,0.0,VE,1655102111
104,yeppoon,-23.1333,150.7333,295.03,56,0,1.88,AU,1655102113
105,koprivnica,46.1628,16.8275,297.75,62,0,1.51,HR,1655102115
106,itaueira,-7.6033,-43.0256,295.05,88,65,1.16,BR,1655102116
107,fairbanks,64.8378,-147.7164,290.13,60,100,0.45,US,1655102046
108,sao filipe,14.8961,-24.4956,295.86,83,5,3.84,CV,1655102119
109,butaritari,3.0707,172.7902,301.31,67,23,6.0,KI,1655102120
110,belyy yar,53.6039,91.3903,296.96,78,40,2.0,RU,1655102121
111,kushima,31.4583,131.2333,292.5,94,100,6.27,JP,1655102122
112,ancud,-41.8697,-73.8203,283.83,92,100,4.54,CL,1655102124
113,souillac,-20.5167,57.5167,297.36,73,75,8.75,MU,1655102125
